anne
annesi
annenin
anneyle
annesiyle
annelerinin
baba
babası
babanın
babayla
babasıyla
babanne
annane
abla
abi
aile
ailesi
ailesiyle
ailesinin
ailenin 
arkadaş
arkadaşı
arkadaşı.
arkadaşları
arkadaşlarının
arkadaşlarıyla
çocuk
çocuk,
çocuğu
kız çocuğu 
kardeş
kardeş..
kardeş,
kardeşi
kardeşiyle
okul
ders
kitap 
bilgisayar
sınıf
sınıfta
sınıftaki
öğrenci
öğrenciler
öğretmen
öğretmeni
öğretmeniyle
hoca
iletişim 
yaptı
yaptığı
yaptığından
yaptıkları
yaşadıkları
etmek
ettiler
oluyor
etti
akşam
akşamları
aldı
almış
yaşadığı
düşünüyor
düşünüyor.
gitmiş
gitmişler
geldi
geldiler
